prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout
SAT,45,0,0,81.781788,0.07466740736079114,1.984034,62.042532,false,59.138919,0.07466740736079114,1.0289570000000001,46.938050000000004,false,883.833111,0.074667407360792,1.1456600000000001,882.687451,false
SAT,45,0,1,83.472481,0.09614906283718407,0.42708300000000005,80.961183,false,93.97317299999999,0.09614906283718404,1.141852,78.151113,false,1575.043521,0.096149062837183,1.021583,1574.021938,false
SAT,45,0,2,28.958382,0.07458901105413089,0.35321199999999997,27.009915,false,298.227456,0.07458901105413088,1.1868779999999999,285.514678,false,867.416056,0.07458901105413,1.256852,866.159204,false
SAT,45,0,3,16.487989000000002,0.07458901105413089,1.343094,12.632678,false,88.566891,0.07458901105413088,1.2453889999999999,70.74902,false,995.3640230000001,0.07458901105413,1.267331,994.0966920000001,false
SAT,45,0,4,74.393807,0.07392763097199473,0.348242,72.099194,false,377.093052,0.07392763097199473,1.1681620000000001,361.21928399999996,false,934.897047,0.073927630971995,2.209033,932.688014,false
SAT,45,1,0,171.764092,0.12147839746327208,2.568205,154.3572,false,110.197386,0.12147839746327209,1.0377429999999999,98.57109799999999,false,2946.4684190000003,0.121478397463272,1.466019,2945.0024,false
SAT,45,1,1,97.377899,0.12130117678697505,0.34041699999999997,94.670823,false,138.592595,0.12130117678697505,1.159876,122.853238,false,3047.987528,0.121301176786975,1.155208,3046.83232,false
SAT,45,1,2,55.07143,0.09747930233076246,0.580514,51.231331,false,153.45477,0.09747930233076245,1.0384749999999998,141.887555,false,1553.527878,0.097479302330762,1.182119,1552.345759,false
SAT,45,1,3,60.861875,0.09744606392516786,0.33642,58.548805,false,125.491952,0.09744606392516786,1.111834,111.020182,false,1545.768947,0.097446063925168,1.177009,1544.591938,false
SAT,45,1,4,64.93736299999999,0.09744606392516786,0.32619,59.3316,false,52.842487,0.09744606392516786,1.0745740000000001,38.431581,false,1575.8605049999999,0.097446063925168,1.234428,1574.6260770000001,false
SAT,45,2,0,86.971884,0.09659051658199644,2.5320259999999997,65.711115,false,99.335601,0.09659051658199644,1.2173260000000001,83.03639299999999,false,1538.103793,0.096590516581997,1.120422,1536.983371,false
SAT,45,2,1,0.9699249999999999,0.09659051658199644,0.612675,0.0,false,61.254297,0.09659051658199644,1.158584,45.40693,false,1574.4767630000001,0.096590516581997,1.381157,1573.0956059999999,false
SAT,45,2,2,11.910813000000001,0.07554254285934957,0.387295,10.061878,false,40.281797,0.07554254285934958,1.051249,23.075151,false,864.517524,0.07554254285935,1.241641,863.275883,false
SAT,45,2,3,26.211788000000002,0.09659051658199644,0.318572,23.979918,false,83.961579,0.09659051658199644,1.073539,66.928992,false,1564.092952,0.096590516581997,1.446892,1562.64606,false
SAT,45,2,4,28.684528999999998,0.09659051658199644,1.3277059999999998,24.184457,false,135.999965,0.09659051658199644,1.039321,121.172602,false,1544.896762,0.096590516581997,1.307221,1543.589541,false
SAT,45,3,0,37.121973,0.05761790481502164,1.9742570000000002,18.228827000000003,false,33.61736,0.05761790481502164,1.085454,20.257025000000002,false,544.028993,0.057617904815022,1.1432449999999998,542.885748,false
SAT,45,3,1,29.747375,0.07742415389237159,0.327491,27.699080000000002,false,77.216341,0.0774241538923716,1.058446,63.575341,false,876.051971,0.077424153892372,1.1081869999999998,874.9437839999999,false
SAT,45,3,2,33.446588000000006,0.07753266262736543,0.302449,29.132861000000002,false,34.023726,0.07753266262736543,1.161065,20.450573,false,889.225144,0.077532662627364,1.62351,887.601634,false
SAT,45,3,3,18.568235,0.05765871023770646,0.29900299999999996,16.353866,false,33.518947,0.057658710237706454,1.1625450000000002,22.046312,false,552.69197,0.057658710237707,1.253721,551.4382489999999,false
SAT,45,3,4,8.461537,0.05765871023770646,1.1177929999999998,4.8987240000000005,false,28.337260999999998,0.05765871023770645,1.144147,11.449437,false,538.1610420000001,0.057658710237707,1.416114,536.744928,false
SAT,45,4,0,257.889715,0.12122774257517772,2.41696,238.56493700000001,false,208.023549,0.12122774257517775,1.097047,197.159283,false,3200.879757,0.121227742575179,1.12819,3199.751567,false
SAT,45,4,1,59.219851999999996,0.12122774257517772,1.352768,54.704766000000006,false,95.370148,0.12122774257517774,1.060786,82.460662,false,3201.6548650000004,0.121227742575179,1.127397,3200.5274679999998,false
SAT,45,4,2,56.849831,0.12122774257517772,1.104701,53.23344,false,357.46130200000005,0.12122774257517775,0.9712949999999999,344.825883,false,3253.686321,0.121227742575179,1.134241,3252.55208,false
SAT,45,4,3,348.510479,0.14503379235645827,0.333714,346.3567,false,241.334617,0.14503379235645825,1.096609,225.60119500000002,false,7400.4318969999995,0.145033792356458,0.941789,7399.490108,false
SAT,45,4,4,147.842332,0.12117621501143278,0.582787,145.037679,false,220.695982,0.12117621501143279,0.982376,205.128979,false,3022.990705,0.121176215011434,1.087738,3021.902967,false
SAT,45,5,0,50.626867,0.04009740909677042,2.456248,28.410636999999998,false,98.53076300000001,0.04009740909677042,1.1466010000000002,85.768637,false,398.663599,0.04009740909677,1.1346969999999998,397.528902,false
SAT,45,5,1,10.573281000000001,0.040098435354961416,0.562038,7.979484,false,40.793019,0.0400984353549614,0.984381,28.556945,false,404.810924,0.040098435354961,1.2667680000000001,403.54415600000004,false
SAT,45,5,2,11.319631,0.040098435354961416,0.325629,9.254918,false,56.647110999999995,0.04009843535496141,1.0363499999999999,44.138075,false,393.222622,0.040098435354961,1.234376,391.988246,false
SAT,45,5,3,9.088294,0.02786043875492676,0.32611,6.419864,false,39.364962,0.027860438754926765,1.026161,24.04957,false,305.282985,0.027860438754927,1.124027,304.158958,false
SAT,45,5,4,4.51894,0.02039553350669527,0.33457600000000004,2.149247,false,24.17597,0.02039553350669527,0.926942,10.184037,false,266.050776,0.020395533506696,1.224538,264.826238,false
SAT,45,6,0,38.692701,0.020078893074012064,1.9274939999999998,17.545517,false,25.233039,0.020078893074012068,1.10992,11.687201,false,259.897782,0.020078893074013,1.004821,258.892961,false
SAT,45,6,1,8.797638000000001,0.020078893074012064,1.262038,4.281144,false,29.360989,0.020078893074012068,1.199638,14.602814,false,264.55478999999997,0.020078893074013,1.25161,263.30318,false
SAT,45,6,2,7.576939,0.016799781252714453,0.301944,5.78747,false,36.391245000000005,0.01679978125271445,1.082539,17.492261,false,241.256427,0.016799781252714,1.139877,240.11655,false
SAT,45,6,3,7.246493999999999,0.016799781252714453,1.398257,2.813768,false,39.429179,0.016799781252714453,1.12648,22.613472,false,243.138164,0.016799781252714,1.102568,242.035596,false
SAT,45,6,4,1.774724,0.016799781252714453,0.690233,0.027773,false,41.076582,0.016799781252714453,1.025128,22.769907,false,239.27606899999998,0.016799781252714,1.0494649999999999,238.22660399999998,false
SAT,45,7,0,490.036881,0.17031353484434347,1.9056,471.372003,false,374.605115,0.17031353484434347,0.951209,363.96712,false,24819.560879,0.170313534844342,1.12592,24818.434959,false
SAT,45,7,1,645.412005,0.19446518279565864,0.32133100000000003,643.099631,false,1246.43532,0.19446518279565864,0.876857,1232.02243,false,127758.175853,0.19446518279566,1.0859349999999999,127757.089918,false
SAT,45,7,2,258.418246,0.19446518279565864,0.9164410000000001,254.871439,false,365.624175,0.19446518279565864,0.929707,351.89835,false,130398.617921,0.19446518279566,1.130148,130397.487773,false
SAT,45,7,3,294.386878,0.19446518279565864,1.264294,289.46235600000006,false,601.548776,0.1944651827956586,0.948173,587.979164,false,132836.59824300001,0.19446518279566,1.073722,132835.52452099998,false
SAT,45,7,4,323.41299,0.19446518279565864,0.8653540000000001,320.054415,false,618.193968,0.19446518279565858,0.986856,605.6926609999999,false,125955.631454,0.19446518279566,1.2188409999999998,125954.41261300001,false
SAT,45,8,0,29.539177,0.041244950598047295,1.7727490000000001,9.223537,false,21.126287,0.041244950598047295,1.2602550000000001,7.804175,false,387.093914,0.041244950598047,1.3824079999999999,385.711506,false
SAT,45,8,1,4.761671000000001,0.02857966318356552,0.27899,2.701025,false,20.899976,0.028579663183565522,0.937371,7.5690230000000005,false,294.30517,0.028579663183567,0.950938,293.354232,false
SAT,45,8,2,5.380447,0.02857966318356552,0.806784,1.8752449999999998,false,26.786678,0.028579663183565522,0.973801,8.426629,false,300.783219,0.028579663183567,1.02553,299.757689,false
SAT,45,8,3,5.763557,0.02857966318356552,1.104209,1.765547,false,20.642271,0.028579663183565522,0.834296,6.706466000000001,false,293.660261,0.028579663183567,1.094721,292.56554,false
SAT,45,8,4,5.640873,0.02072260720093558,0.529597,2.348266,false,16.619964,0.020722607200935585,0.990182,3.9627220000000003,false,252.02442499999998,0.020722607200936,1.2500060000000002,250.774419,false
SAT,45,9,0,49.890192000000006,0.055767188370325266,2.208328,28.918225999999997,false,43.821875,0.055767188370325266,0.8526609999999999,31.816529,false,549.0599279999999,0.055767188370325,1.169463,547.890465,false
SAT,45,9,1,11.39391,0.055767188370325266,1.090754,6.670019,false,40.59477,0.05576718837032528,0.90965,23.685558,false,563.672361,0.055767188370325,0.901464,562.770897,false
SAT,45,9,2,17.894478,0.03960544902005428,0.250596,16.184778,false,33.637195,0.03960544902005427,0.875835,20.626371,false,392.513385,0.039605449020053,1.0410899999999998,391.472295,false
SAT,45,9,3,6.5264679999999995,0.03951049817044086,0.484691,4.105607,false,31.889718000000002,0.03951049817044087,0.826461,16.569731,false,395.740716,0.03951049817044,0.9502970000000001,394.790419,false
SAT,45,9,4,18.389692999999998,0.03948880875426244,0.247441,15.961578,false,31.799214,0.039488808754262444,0.896575,18.14431,false,385.485895,0.039488808754262,0.99437,384.491525,false
SAT,45,10,0,45.961835,0.07817827763348532,1.5498969999999999,26.966863,false,36.439188,0.07817827763348531,0.842472,23.601116,false,877.789323,0.078178277633485,1.040749,876.7485740000001,false
SAT,45,10,1,1.003949,0.07817827763348532,0.5145080000000001,0.0,false,38.836988,0.07817827763348531,0.813286,25.335955000000002,false,870.382945,0.078178277633485,1.196064,869.1868810000001,false
SAT,45,10,2,9.764813,0.07817827763348532,0.727202,7.000741,false,41.745083,0.07817827763348532,0.92077,25.63183,false,942.193553,0.078178277633485,0.9502160000000001,941.2433370000001,false
SAT,45,10,3,12.636999,0.07817827763348532,0.969854,8.756422,false,36.976737,0.07817827763348531,0.8657050000000001,19.359392,false,914.533897,0.078178277633485,1.088269,913.445628,false
SAT,45,10,4,12.139738,0.07817827763348532,0.77887,8.756966,false,48.036062,0.07817827763348531,0.924768,34.059298999999996,false,874.713973,0.078178277633485,1.104059,873.609914,false
SAT,45,11,0,243.635212,0.09740426215071096,1.7315509999999998,225.15859099999997,false,225.43819399999998,0.09740426215071096,0.832463,213.464756,false,1579.44166,0.097404262150711,1.076088,1578.365572,false
SAT,45,11,1,145.33813500000002,0.12081774663174402,0.27798399999999995,142.875444,false,265.794534,0.12081774663174404,0.9012530000000001,253.439903,false,2967.3336179999997,0.120817746631743,1.019088,2966.3145299999996,false
SAT,45,11,2,35.064865,0.09824481373171035,0.488628,32.809968999999995,false,52.759391,0.09824481373171032,0.79425,38.035146,false,1511.255335,0.098244813731711,1.2025160000000001,1510.052819,false
SAT,45,11,3,66.05108,0.09865624077366889,0.273019,63.09321,false,55.004048000000004,0.09865624077366889,0.767148,39.389686000000005,false,1543.05005,0.098656240773669,0.9499070000000001,1542.100143,false
SAT,45,11,4,21.542046,0.07631326614235508,0.256108,19.835099,false,124.728022,0.07631326614235509,0.8213619999999999,113.111684,false,873.535033,0.076313266142355,1.168799,872.3662340000001,false
SAT,45,12,0,83.457996,0.07542256708018628,1.865048,63.342044,false,78.427219,0.07542256708018628,1.017695,66.15639999999999,false,868.455426,0.075422567080186,1.02562,867.429806,false
SAT,45,12,1,9.246183,0.05605235893189833,0.540728,6.883741,false,40.714545,0.05605235893189833,0.797095,25.183003,false,547.9212510000001,0.056052358931898,1.061087,546.8601639999999,false
SAT,45,12,2,12.496361,0.03979764767000665,0.292175,10.578495,false,38.623050000000006,0.039797647670006646,1.106312,26.185316999999998,false,381.598705,0.039797647670006,1.04213,380.556575,false
SAT,45,12,3,6.486249,0.03979764767000665,0.716672,3.4769699999999997,false,33.825009,0.03979764767000664,0.806042,17.793378,false,385.573634,0.039797647670006,1.2594949999999998,384.314139,false
SAT,45,12,4,25.937042,0.04057683125494884,0.248052,20.543260999999998,false,29.645191999999998,0.040576831254948854,1.3094290000000002,14.783873999999999,false,468.46515999999997,0.040576831254949,1.059345,467.405815,false
SAT,45,13,0,75.83055499999999,0.09692277169674696,1.740509,57.446318,false,195.878258,0.09692277169674696,0.879873,179.409902,false,1565.4932620000002,0.096922771696748,1.295749,1564.197513,false
SAT,45,13,1,22.070747,0.09692277169674696,1.109569,18.008440999999998,false,48.276994,0.09692277169674696,0.7806839999999999,35.648107,false,1572.302092,0.096922771696748,1.070997,1571.2310949999999,false
SAT,45,13,2,23.127929,0.09692277169674696,1.070405,19.224518,false,85.877074,0.09692277169674693,0.934837,69.22114,false,1567.27882,0.096922771696748,1.584948,1565.693872,false
