prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout
SRV,10,0,0,19.471225999999998,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	}
	]
}
",2.615243,2.5942220000000002,false,,,,,,151.455088,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		}
	]
}
",1.2522760000000002,150.202812,false
SRV,10,1,0,18.980802,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	}
	]
}
",2.481328,2.618779,false,,,,,,154.6636,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		}
	]
}
",1.29122,153.37238,false
SRV,10,2,0,18.220308,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	}
	]
}
",2.523768,2.499441,false,,,,,,151.77919699999998,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		}
	]
}
",1.200007,150.57919,false
SRV,10,3,0,16.586698000000002,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	}
	]
}
",2.653945,2.588484,false,,,,,,153.767646,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		}
	]
}
",1.310716,152.45693,false
SRV,10,4,0,16.212161000000002,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	}
	]
}
",2.287439,2.525743,false,,,,,,148.835656,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		}
	]
}
",1.3307909999999998,147.504865,false
SRV,10,5,0,19.185122,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	}
	]
}
",2.827264,2.346943,false,,,,,,153.091364,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		}
	]
}
",1.226712,151.864652,false
SRV,10,6,0,18.051536,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	}
	]
}
",2.3925189999999996,2.378692,false,,,,,,157.06645600000002,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		}
	]
}
",1.263076,155.80338,false
SRV,10,7,0,18.344943999999998,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	}
	]
}
",2.622044,2.526563,false,,,,,,152.076086,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		}
	]
}
",1.298473,150.777613,false
SRV,10,8,0,17.681835,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	}
	]
}
",2.6889920000000003,2.426725,false,,,,,,153.738968,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		}
	]
}
",1.615605,152.123363,false
SRV,10,9,0,17.8803,"{
	""valid"" : true,
	""matches"" : [
	{
		""object"" : ""object3"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object4"",
		""probability"" : 0.9799990199999999
	},
	{
		""object"" : ""object10"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object9"",
		""probability"" : 0.9702
	},
	{
		""object"" : ""object8"",
		""probability"" : 0.9799019999999999
	},
	{
		""object"" : ""object5"",
		""probability"" : 0.9799990199999999
	}
	]
}
",2.4123159999999997,2.599628,false,,,,,,151.41591699999998,"{
	""valid"" : true,
	""matches"" : [
		{
			""object"" : ""object8"",
			""probability"" : 0.979902
		},
		{
			""object"" : ""object9"",
			""probability"" : 0.9702
		},
		{
			""object"" : ""object3"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object5"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object4"",
			""probability"" : 0.97999902
		},
		{
			""object"" : ""object10"",
			""probability"" : 0.9702
		}
	]
}
",1.2417049999999998,150.174212,false
