prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout,storm.total[ms],storm.result,storm.trafo[ms],storm.evaluation[ms],storm.timeout,incremental.healthy,standalone.healthy,storm.healthy,problog.exitcode
SAT,60,0,0,1065.061334,0.16234361304388722,36.766152999999996,874.754414,false,,,,,,33218.832734999996,0.162343613043888,6.221584,33212.611151,false,9749.887356000001,0.16234361304388856,61.558424,9688.328932,false,true,,true,0
SAT,60,1,0,6367.935261,0.19317976346354926,24.583361,6225.829411999999,false,,,,,,174618.447001,0.193179763463549,2.083712,174616.363289,false,9313.626835000001,0.19317976346354673,53.793365,9259.833470000001,false,true,,true,0
SAT,60,2,0,1910.429142,0.18773916024391765,27.087946,1754.532978,false,,,,,,,,,,,,,,,,true,,,
SAT,60,3,0,250.784187,0.09742479159998696,4.44361,202.33464,false,,,,,,,,,,,,,,,,true,,,
SAT,60,4,0,2043.74644,0.19251555146401245,6.4166229999999995,1978.100244,false,,,,,,,,,,,,,,,,true,,,
SAT,60,5,0,1235.508596,0.09760157989307638,4.5501819999999995,1196.8908999999999,false,,,,,,,,,,,,,,,,true,,,
SAT,60,6,0,255.069479,0.05436563953679393,4.633183,212.572117,false,,,,,,,,,,,,,,,,true,,,
SAT,60,7,0,14555.480655,0.2406697623163948,3.4622100000000002,14520.975064999999,false,,,,,,,,,,,,,,,,true,,,
SAT,60,8,0,1643.841808,0.1230583147395559,3.7189810000000003,1598.881001,false,,,,,,,,,,,,,,,,true,,,
SAT,60,9,0,437.71968699999996,0.11968279410262479,3.9152750000000003,405.79325900000003,false,,,,,,,,,,,,,,,,true,,,
SAT,60,10,0,675.3409300000001,0.14700287646316917,3.972141,641.660024,false,,,,,,,,,,,,,,,,true,,,
