prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout,storm.total[ms],storm.result,storm.trafo[ms],storm.evaluation[ms],storm.timeout,incremental.healthy,standalone.healthy,storm.healthy,problog.exitcode
SAT,80,0,0,21000.607974,0.23025981198846582,11.31112,20915.697852,false,,,,,,1200092.950161,0,2.984748,1200089.9654130002,true,8211.905702,0.23025981198846276,56.97055100000001,8154.935151000001,false,true,,true,137
SAT,80,1,0,230212.827414,0.3013984537697701,17.338568,230079.597146,false,,,,,,1200209.502804,0,4.15583,1200205.3469739999,true,12431.718892000003,0.3013984537697686,79.174514,12352.544378000002,false,true,,true,137
SAT,80,2,0,270037.544485,0.31539763352201844,21.872269,269879.14331699995,false,,,,,,1200456.4497820002,0,16.013825999999998,1200440.4359560001,true,15055.559819,0.31539763352201766,89.75573700000001,14965.804082,false,true,,true,137
SAT,80,3,0,1217.668854,0.14372268576633315,38.72333999999999,1038.161939,false,,,,,,9241.067334000001,0.143722685766336,4.050194,9237.01714,false,5451.530723999999,0.1437226857663303,42.95490499999999,5408.575819,false,true,,true,0
SAT,80,4,0,92534.50409100001,0.2593712789708317,36.091628,92357.905168,false,,,,,,1200088.2028770002,0,8.056978,1200080.1458989999,true,9862.392513000003,0.25937127897083073,62.659573,9799.732940000002,false,true,,true,137
SAT,80,5,0,25345.703528000002,0.21141213164108338,38.105573,25174.637101,false,,,,,,1045256.376094,0.211412131641083,10.531227000000001,1045245.844867,false,8297.067820999999,0.21141213164108205,54.226829,8242.840992,false,true,,true,0
SAT,80,6,0,2961.328392,0.11453129976925114,38.005739999999996,2767.093249,false,,,,,,3849.8427629999996,0.11453129976925,13.181014999999999,3836.661748,false,5579.479507000001,0.11453129976925233,40.309077,5539.170430000001,false,true,,true,0
SAT,80,7,0,389554.64332,0.32372629342144016,29.403283,389362.060443,false,,,,,,1200440.086003,0,10.001290999999998,1200430.0847119999,true,22707.049852000004,0.3237262934214415,90.478305,22616.571547000003,false,true,,true,137
SAT,80,8,0,32934.467507,0.2406388485908315,38.379606,32735.235005,false,,,,,,1200110.045619,0,11.462695,1200098.582924,true,9496.967085,0.24063884859082932,67.029713,9429.937372,false,true,,true,137
SAT,80,9,0,45913.370691,0.2365265973097982,35.09278,45743.806855999996,false,,,,,,1200101.4442550002,0,6.511542,1200094.932713,true,9148.038263,0.23652659730979847,60.00594900000001,9088.032314,false,true,,true,137
SAT,80,10,0,25852.330485,0.21670847080242653,27.115919,25685.587258,false,,,,,,1037769.6567159999,0.216708470802428,4.837764,1037764.818952,false,7601.3085089999995,0.21670847080242578,46.462672,7554.845837,false,true,,true,0
SAT,80,11,0,363125.208604,0.25604225202742664,39.014362,362916.358547,false,,,,,,1200149.75648,0,13.55258,1200136.2039,true,18831.988890999997,0.2560422520274292,88.745311,18743.24358,false,true,,true,137
SAT,80,12,0,6608.547122999999,0.1889966271040887,34.460860999999994,6412.016187,false,,,,,,180817.233561,0.18899662710409,12.013862999999999,180805.219698,false,6794.903909000001,0.18899662710408707,55.42275399999999,6739.481155,false,true,,true,0
SAT,80,13,0,8401.693007,0.23396044310432956,40.14454,8210.949797000001,false,,,,,,1200097.6326,0,14.894603,1200082.7379969999,true,9220.520186,0.23396044310433048,66.53477699999999,9153.985408999999,false,true,,true,137
SAT,80,14,0,60559.091431,0.23662330932841455,36.404908999999996,60350.727294,false,,,,,,1200103.316139,0,7.206626,1200096.1095130001,true,9109.892062,0.23662330932841344,58.495214000000004,9051.396848,false,true,,true,137
SAT,80,15,0,201456.32108300002,0.28006923846365556,26.426859,201312.70896599998,false,,,,,,1200160.200484,0,17.667527,1200142.532957,true,10203.015662000002,0.2800692384636591,75.85283700000001,10127.162825000001,false,true,,true,137
SAT,80,16,0,12532.411117,0.23238078632414086,29.459583,12369.552839,false,,,,,,1200112.491507,0,11.299087,1200101.19242,true,8195.162452,0.2323807863241449,56.501489,8138.660963000001,false,true,,true,137
SAT,80,17,0,235178.068179,0.2818869989719784,38.944703999999994,234979.904879,false,,,,,,1200169.9597490001,0,15.019855999999999,1200154.9398929998,true,17336.597935,0.2818869989719764,90.47197200000001,17246.125963000002,false,true,,true,137
SAT,80,18,0,431089.084797,0.3181876749577376,34.030538,430892.063899,false,,,,,,1200459.71128,0,13.252463,1200446.4588169998,true,23394.874314000004,0.318187674957738,114.032834,23280.841480000003,false,true,,true,137
SAT,80,19,0,11021.974323999999,0.18778690007939008,34.791057,10810.276726,false,,,,,,178610.39028,0.187786900079389,9.809612,178600.580668,false,6593.066819000001,0.18778690007939194,56.152080999999995,6536.914738,false,true,,true,0
SAT,80,20,0,79515.942243,0.2588407173037563,40.353019,79315.707681,false,,,,,,,,,,,11103.110951,0.2588407173037548,86.14533,11016.965621000001,false,true,,true,
SAT,80,21,0,42355.461722,0.1903124911282933,45.947161,42156.10477799999,false,,,,,,,,,,,6864.918352,0.19031249112829135,45.236465,6819.681887,false,true,,true,
SAT,80,22,0,5834.455467,0.18839288938380597,20.357555,5713.961108,false,,,,,,,,,,,6713.492423999999,0.18839288938380871,44.110137,6669.382286999999,false,true,,true,
SAT,80,23,0,10323.88076,0.1928414865812121,24.157865,10197.918481,false,,,,,,,,,,,7519.184985999998,0.19284148658121536,47.516707999999994,7471.668277999998,false,true,,true,
