prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout,storm.total[ms],storm.result,storm.trafo[ms],storm.evaluation[ms],storm.timeout,incremental.healthy,standalone.healthy,storm.healthy,problog.exitcode
SAT,40,0,0,366.52846500000004,0.05566329013014396,51.166779000000005,177.854424,false,,,,,,662.05268,0.055663290130144,6.134767,655.917913,false,2667.3045949999996,0.055663290130145024,31.481225000000002,2635.8233699999996,false,true,,true,0
SAT,40,1,0,136.079459,0.07674567239782465,6.195316,86.93726600000001,false,,,,,,1029.597018,0.076745672397825,2.357219,1027.239799,false,2956.805439,0.07674567239782443,28.683168,2928.122271,false,true,,true,0
SAT,40,2,0,108.232618,0.07520992685149305,4.482182,63.890896,false,,,,,,,,,,,,,,,,true,,,
SAT,40,3,0,59.462282,0.05761790481502163,5.450139,17.164516,false,,,,,,,,,,,,,,,,true,,,
SAT,40,4,0,97.583257,0.09840775255259669,4.023766999999999,65.69498,false,,,,,,,,,,,,,,,,true,,,
SAT,40,5,0,41.445954,0.0205922755931997,4.766369,5.019375,false,,,,,,,,,,,,,,,,true,,,
SAT,40,6,0,49.290474,0.016777479831460232,4.204121,13.365765,false,,,,,,,,,,,,,,,,true,,,
SAT,40,7,0,502.460392,0.14662199468012926,3.915696,474.3076,false,,,,,,,,,,,,,,,,true,,,
SAT,40,8,0,41.345979,0.028607248724748225,4.033611,7.747073,false,,,,,,,,,,,,,,,,true,,,
SAT,40,9,0,36.069165,0.03978493356061828,4.123716,6.109885,false,,,,,,,,,,,,,,,,true,,,
SAT,40,10,0,44.214759,0.04136115702169075,3.8269859999999998,13.387858,false,,,,,,,,,,,,,,,,true,,,
SAT,40,11,0,122.392104,0.07698439503933807,3.592519,93.12715399999999,false,,,,,,,,,,,,,,,,true,,,
SAT,40,12,0,66.34373299999999,0.07542256708018628,3.145105,41.135572999999994,false,,,,,,,,,,,,,,,,true,,,
SAT,40,13,0,71.035325,0.05665216320075844,2.851958,47.558592,false,,,,,,,,,,,,,,,,true,,,
SAT,40,14,0,60.859524,0.056477171266120875,2.8916880000000003,39.701106,false,,,,,,,,,,,,,,,,true,,,
SAT,40,15,0,187.198603,0.07661818246848609,3.678158,163.301015,false,,,,,,,,,,,,,,,,true,,,
