prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout,storm.total[ms],storm.result,storm.trafo[ms],storm.evaluation[ms],storm.timeout,incremental.healthy,standalone.healthy,storm.healthy,problog.exitcode
SAT,20,0,0,208.333775,0.01354575065430641,38.164336999999996,75.25565700000001,false,,,,,,338.976261,0.013545750654307,5.564213,333.412048,false,279.32556500000004,0.013545750654306667,9.71095,269.614615,false,true,,true,0
SAT,20,1,0,45.666757,0.020668463536280587,4.244823,12.839447,false,,,,,,225.062231,0.020668463536281,1.884365,223.17786600000002,false,692.847153,0.020668463536280338,15.276335,677.570818,false,true,,true,0
SAT,20,2,0,41.600997,0.028077857724982766,5.231792,11.951675,false,,,,,,,,,,,,,,,,true,,,
SAT,20,3,0,40.74932,0.020510686675827963,3.6366579999999997,9.385762000000001,false,,,,,,,,,,,,,,,,true,,,
SAT,20,4,0,27.594389,0.020533361407444464,3.7332240000000003,6.695198,false,,,,,,,,,,,,,,,,true,,,
SAT,20,5,0,31.11081,0.01354575065430641,4.3216019999999995,3.49252,false,,,,,,,,,,,,,,,,true,,,
SAT,20,6,0,26.874445,0.015095851978801514,3.978118,3.5253710000000003,false,,,,,,,,,,,,,,,,true,,,
SAT,20,7,0,23.962301,0.02853333151390081,3.4227350000000003,5.637626,false,,,,,,,,,,,,,,,,true,,,
SAT,20,8,0,23.315631,0.013863528357481485,3.7250140000000003,2.238661,false,,,,,,,,,,,,,,,,true,,,
SAT,20,9,0,23.782983,0.020684721740672235,2.868357,4.398258,false,,,,,,,,,,,,,,,,true,,,
SAT,20,10,0,26.173029,0.0171913871596076,3.199094,3.26597,false,,,,,,,,,,,,,,,,true,,,
SAT,20,11,0,24.676179,0.01715999483052163,4.1902870000000005,3.142035,false,,,,,,,,,,,,,,,,true,,,
SAT,20,12,0,19.866266,0.02056989527496328,3.0219899999999997,3.42882,false,,,,,,,,,,,,,,,,true,,,
SAT,20,13,0,23.06036,0.01705416339597184,3.221152,3.7810900000000003,false,,,,,,,,,,,,,,,,true,,,
SAT,20,14,0,23.101203,0.01728166234649038,3.45572,2.995093,false,,,,,,,,,,,,,,,,true,,,
SAT,20,15,0,20.470989000000003,0.020623773323569027,3.487535,3.29123,false,,,,,,,,,,,,,,,,true,,,
SAT,20,16,0,22.830171,0.020607455444455882,2.908582,3.9356,false,,,,,,,,,,,,,,,,true,,,
SAT,20,17,0,22.613506,0.028415060088761657,2.4828539999999997,4.487439,false,,,,,,,,,,,,,,,,true,,,
SAT,20,18,0,21.729895,0.020695937282022007,3.012223,2.6243510000000003,false,,,,,,,,,,,,,,,,true,,,
SAT,20,19,0,20.721276000000003,0.02062529051799706,2.9808359999999996,3.405153,false,,,,,,,,,,,,,,,,true,,,
SAT,20,20,0,20.872122,0.017011853978588606,2.798849,2.535724,false,,,,,,,,,,,,,,,,true,,,
